Id,Mus CPRCMUS No,Tattoo,CS_Tattoo,Sex,Coronal suture,Sagittal suture,Lamboidal suture,Humeral Head,Distal Humerus,Humerus Lateral Epicondyle,Humerus Medial Epicondyle,Proximal Radius,Distal Radius,Proximal Ulna,Distal Ulna,Femoral Head,Distal Femur,Proximal Tibia,Distal Tibia,Zy-Zy,Ba-Br,Eu-Eu,Gl-Op,Go-Co,Go-Go,Po-Go,Al-MxF suture midline,HL,HPML,HPAP,HDML,HDAP,RL,RPML,RPAP,RDML,RDAP,UL,FL,FHL,FHSI,FPAP,FPML,FDML,FDAP,TL,TPML,TPAP,TDML,TDAP,IICrest,Pel_height,HDia,RDia,UDia,FDia,TDia,Pterion_Right,Pterion_Left,BMD_Hum,BMD_Fem,MCode,Pedigree,EAAD
406,"CPRCMUS-00564","672","672","F",3,3,3,1,3,3,3,0,0,"0","0",3,2,2,3,79.84,"55.78","61.9","88.01",,,,46.91,"135.37","15.14","16.25","25.7","14.49",,,,,,,"158.24","156.75","14.63","15","12.28","25.88","20.77",,,,,,,"135.72","33",,,"39","33","TF","TF","4403","4307","Q1071","04 Tier",5.56
407,"CPRCMUS-00565","715","715","F",3,3,3,1,3,3,3,3,1,"3","1",3,1,1,1,75.56,"52.82","61.44","82.06","37.06",46.10,64.81,45.80,"136.14","15.53","16.6","23.63","13.94","134.9","10.16","11.53","13.61","11.38","148.59","160.93","160.21","14.31","14.67","11.21","24.32","19.16","150.23","24.02","18.7","14.87","13.28",,"137.27","30","22","22","33","32","TF","TF","4108","4337","Q1048","03 Tier",4.19
408,"CPRCMUS-00566","409","409","M",4,4,4,,3,0,0,3,3,"3","3",3,3,3,3,99.32,"57.13","67.41","92.52","41.63",50.62,83.67,55.72,"148.55","18.26","20.07","30.14","18.84","148.74","12.93","13.56","17.94","14.6","167.48","179.93","Na","16.57","16.66","12.37","28.39","24.79","165.59","31.08","24.63","19.21","15.06","96.13","156.35","43","30","30","46","42","NA",,"4244","4242",,,9.56
409,"CPRCMUS-00570","XN","XN","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,90.95,,"64.05","92.76","43.55",55.88,77.93,59.56,"143.81","16.54","19.44","30.02","18.11","146.23","11.27","12.61","16.52","13.57","161.26","176.4","173.2","15.98","16.03",,"30.66","23.55","163.89","32.17","23.96","18.65","15.28",,"150.01","37","30","26","40","39","TF","TF","4277","4440","Q1048","02 Tier",17.14
410,"CPRCMUS-00572","629","629","F",3,3,3,2,3,3,3,3,1,"3","1",3,3,3,3,82.72,,,,"39.1",48.67,73.55,49.89,"145.8","15.62","17.43","25.38","15.57",,,,,,,"176.46","172.7","15.24","15.62","12.74","27.23","21.64","159.18","27.25","21.1","16.11","14.3",,"145.91","34","25","22","38","38","TF","TF","4283","4287","Q1048","02 Tier",6.11
411,"CPRCMUS-00576","638","638","M",3,3,3,1,3,3,3,3,1,"2","1",3,2,1,2,90.86,"59.11","69.35","91.17","38.83",54.18,80.43,55.99,"156.64","15.76","19.81","30.15","18.31",,"12.79","14.21",,,"172.43","192.05","186.62","17.1","17.2","13.88","30.03","24.03","171.44","30.17","23.15","17.95","15.7",,"154.5","39","30","28","42","38","TF","TF","4197","4268","Q1083","04 Tier",5.99
412,"CPRCMUS-00577","543","543","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,79.91,"48.86","60.65","81.99","34.67",45.74,68.86,53.25,"134.77","15.4","16.84","25.7","15.58","134.39","10.24","11.54","14.34","11.92","150.97","160.48","157.65","14.26","14.44","12.65","25.76","20.78","148.93","26.49","18.78","16.56","13.32",,"138.8","35","26","25","38","37","TF","TF","4303","4283","Q1056","04 Tier",6.93
413,"CPRCMUS-00578","828","828","F",2,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,70.89,"52.54","60.93","81.14","32.09",44.55,58.63,41.25,"120.15","14.45","15.54",,,,,,,,,"142.05","142.05","14.24","14.29","10.68","25.49","19.32","138.7","23.95","17.44","14.77","13.56",,"118.23","28","21","22","33","30","TF","TF","4317","4421","Q1000","03 Tier",3.39
414,"CPRCMUS-00579","497","497","F",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,83.67,"55.97","64.38","90.97","45.01",50.69,72.05,52.11,"138.84","14.99","17.43","26.78","16.45","135.31","11.2","12.77","14.69","12.36","153.28","157.66","154.51","15.65","15.85",,"28.21","22.56","149.71","28.28","20.38","17.9","13.91","13.91","150.34","35","28","26","41","36","TF",,"4179","4397","Q1012","04 Tier",8.99
415,"CPRCMUS-00580","471","471","F",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,85.19,"55.47","64.6","83.83","40.31",43.38,72.10,49.42,"145.83","15.73","17.1","27.78","17.69","140.48","10.58","12.23","14.81","12.87","158.43","182.83","177.52","14.83","14.95","11.81","28.12","20.75","161.55","26.84","19.55","18.11","16.98",,"149.69","36","27","27","43","37","TF","TF","4215","4311","Q1053","04 Tier",9.97
416,"CPRCMUS-00581","645","645","M",3,3,3,1,3,3,3,3,1,"3","1",3,2,2,3,86.20,"56.81","64.74","89.85","35.89",48.11,77.57,57.20,"146.97","16.75","18.27","28.28","16.58","145.45","11.63","12.97","15.49","12.43","167.48","177.57","173.11","15.82","16.34","13.59","28.19","20.75","165.47","27.51","21.08","17.66","14.79",,"152.82","37","28","27","42","38",,,"4182","4247","Q1056","04 Tier",5.97
417,"CPRCMUS-00582","495","495","M",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,94.82,"57.1","66.6","89.88","40.61",51.99,80.20,61.57,"152.4","18.37","19.64","29.93","19.33","154.08","12.91","13.78","16.67","14.17","172.11","185.62","181.82","17.67","17.66","15.08","31.13","23.63","173.29","30.66","23.47","19.48","15.88",,"160.11","38","30","26","40","38","TF","TF","4318","4437","Q1066","03 Tier",9.38
418,"CPRCMUS-00583","786","786","M",3,3,3,1,3,0,0,3,2,"2","1",3,2,2,2,93.90,"54.45","70.63","95.26","39.66",48.87,81.88,64.72,"164.13","21.1","21.39","31.94","19.3","163.83","12.75","13.21","17.71","15.12","184.64","198.75","Na","16.25","17.4","14.43","32.04","25.57","186.77","30.99","24.45","20.35","17.27",,"165.65","46","32","34","48","44","TF","SP","4254","4115",,,5.41
419,"CPRCMUS-00584","B89","B89","F",2,1,2,1,1,0,0,1,1,"1","1",1,1,1,1,58.54,"50.37","59.44","77.09","21.96",34.20,44.55,30.17,,,,,,,,,,,,"102.33","Na","11.63","11.33","8.44","18.18","14.45","101.38","16.74","11.68","11.72",,,,,,,"25","22","NA",,"4363","4208",,,1.00
420,"CPRCMUS-00585","851","851","F",3,3,3,1,3,3,3,3,1,"3","1",3,1,1,1,79.93,"53.31","63.44","86.37","40.65",50.63,66.12,46.08,"133.75","14.85","16.4","23.66","14.93","136.26","10.32","11.59","13.79","11.46","154.94","161.5",,"14.47","14.83","11.74","26.29","20.05","148.55","25.74","19.05","15.31","13.46",,"142.01","30","21","23","35","33","TF","TF","4163",,"Q1066","05 Tier",4.42
421,"CPRCMUS-00586","781","781","M",4,3,3,1,3,0,0,3,1,"3","1",3,2,2,2,97.96,"54.25","62.55","89.75","37.76",56.47,76.84,54.38,"155.84","19.31","19.7","29.17","19.28","147.46","11.94","12.81","16.42","13.62","168.79","195.11","Na","15.96","16.28","12.6","31.03","22.34","173.27","28.8","21.59","17.09","15.86",,"157.53","46","30","28","41","40","TF",,"4245","4223",,,5.28
422,"CPRCMUS-00587","957","957","F",3,3,3,1,3,3,2,2,1,"1","1",1,1,1,1,68.13,"51.51","62.34","82.12","33.83",41.03,57.93,44.44,"131.38","14.26","15.71","23.84","14.42","131.67","10.08","10.89","12.8","11.12","148.3","155.74",,"13.91","13.85","11","24.46","19.08","147.94","24.38","17.92","15.35","13.13",,"126.85","30","23","20","34","30","TF","TF","4215","4134","Q1019","06 Tier",3.54
423,"CPRCMUS-00588","280","280","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,85.61,"54.17","64.19","86.77","42.68",52.10,72.70,55.89,"135.77","15.51","17.64","27.06","15.46","136.19","10.88","12.2","15.1","12.25","152.87","164.46","161","15.5","15.45","13.43","26.97","22.15","153.7","27.51","19.79","17.47","15.28",,"143.34","38","27","27","39","36","TF",,"4574","4415","Q1019","05 Tier",11.03
424,"CPRCMUS-00589","259","259","F",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.95,"56.98","63.69","87.13","39.5",52.35,71.83,55.56,"133.56","17.16","17.43","25.8","15.49","134.01","10.66","12.51","15.3","12.65","149.03","159.79","156.69","14.97","15.17","12.37","27.51","21.75","149.56","28.09","20.82","17.09","14.18",,"143.71","36","28","25","40","37",,,"4216","4304","Q1071","04 Tier",11.96
425,"CPRCMUS-00590","482","482","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.19,"59","63.09","88.4","41.21",43.54,74.87,50.95,"134.83","16.47","18.02","26.99","16.57","132.82","10.24","12.41","16.56","13.25","148.54","166.79","163.57","15.14","15.41","12.14","28.24","22.21","156.89","27.84","21.09","17.86","14.74",,"142.99","38","31","27","41","37",,,"4047","4431","Q1048","03 Tier",8.90
426,"CPRCMUS-00591","661","661","M",3,3,3,2,3,3,3,3,3,"3","3",3,3,3,3,95.80,"57.64","69.25","91.38","43.16",51.54,84.25,58.40,"154.95","18.48","19.78","29.02","18.24","151.88","12.28","13.76","16.74","13.76","172.35","189.81","185","17.19","17.02",,"30.52","23.18","169.04","31.04","24.15","18.68","16.31",,"156.79","38","31","28","40","40","TF","TF","4446","4377","Q1019","05 Tier",6.67
427,"CPRCMUS-00592","B27","B27","M",2,1,1,1,1,0,0,1,1,"1","1",1,1,1,1,65.10,"51.4","60.73","81.4","30.95",35.13,49.77,39.50,,"11.34","11.68",,,"101.02","9.12","8.44","12.4","8.57",,"123.67","Na","12.33","12.83","9.73","22.04","16.17",,,,,,,,,"18",,"28",,"SP",,"4380","4236",,,1.73
428,"CPRCMUS-00594","1J","1J","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,95.19,"57.29","72.16","88.05","43.08",51.90,88.14,72.05,"153.4","18.84","19.92","30.87","18.61","156.44","12.67","13.61","18.18","14.24","171.41","188.99","183.41","17.87","18.09","15.01","30.39","24.31","170.21","30.74","23.61","20.15","16.13","95.61","159.62","40","30","29","44","41","TF","TF","4527","4370","Q1066","03 Tier",15.04
429,"CPRCMUS-00595","934","934","M",3,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,76.26,"55.97","64.74","87.05","34.58",41.58,62.99,45.47,"135.11","13.57","16.53",,,"139.36","11.68","12.37","15.05","11.99","157.66","167.05",,"15.91","15.93","11.97","27.51","20.98","159.29","26.46","21.42","17.2","15.23",,"137.11","31","23","23","35","33","TF","TF","4310","4269","Q1053","04 Tier",3.36
430,"CPRCMUS-00596","283","283","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,87.97,"55.1","63.58","90.64","42.96",53.81,74.75,57.40,"141.11","16.21","17.6","27.17","16.27","140.11","10.76","12.35","15.78","12.96","158.45","169.96","166.4","14.75","15.01",,"27.39","22.09","156.91","27.18","20.56","17.07","14.04",,"151.33","36","25","24","35","36","TF","TF","4191","4348","Q1019","03 Tier",10.97
431,"CPRCMUS-00598","294","294","F",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,85.31,"58.02","63.77","90.68","45.49",48.15,75.04,57.47,"136.46","16.12","17.15","25.99","15.2","139.85","10.81","12.28","14.9","12.66","155.52","172.67","170.18","14.79","15.46","12.24","26.92","21.27","158.39","26.91","20.83","17.48","13.91",,"155.41","34","26","23","38","35","TF","TF","4374","4310","Q1048","02 Tier",11.36
432,"CPRCMUS-00599","639","639","M",3,3,5,2,3,0,0,3,2,"3","2",3,2,2,3,94.26,"58.84","66.93","93.24","35.43",45.65,81.62,65.35,"157.6","18.55","19.78","30.63","17.92","155.56","11.88","11.97","16.5","13.6","173.53","187.35","Na","16.39","16.71","13.78","30.3","23.96","176.24","30.19","22.82","18.24","15.93",,"158.64","46","27","31","45","43","SP",,"4273","4154",,,6.63
433,"CPRCMUS-00600","915","915","M",3,2,2,1,3,2,1,1,1,"1","1",1,1,1,1,74.41,"57.74","65.75","86.32","34.09",44.55,61.01,43.97,"122.13","13.55","16.82",,,"122.31","11.39","10.71","12.67","10.66",,"146.95",,"15.4","15.17","11.41","26.29","21.35","139.19","25.44","18.63","14.51","14.32",,"119.06","26","21","21","32","30","TF","TF","4188","4233","Q1000","03 Tier",3.69
434,"CPRCMUS-00601","738","738","F",3,3,3,1,3,3,3,3,1,"3","1",3,2,2,3,81.53,"55.18","64.49","88.33","41.92",48.14,67.41,49.16,"146.63","16.39","17.5","25.28","16.8","143.28","10.87","11.96","14.82","12.64","161.42","171.22","169.82","16.4","16.32","13.13","27.23","21.66","159.56","27.28","19.69","16.54","14.17",,"148.21","33","23","23","36","34","TF","TF","4221","4252","Q1066","05 Tier",5.63
435,"CPRCMUS-00604","B28","B28","F",2,1,2,1,2,0,0,1,1,"1","1",1,1,1,1,63.21,"54.4","61.78","78.47","25.93",33.84,48.65,34.65,,,,,,,,,,,,,"Na",,,,,,,,,,,,,,,,,,"NA",,"4141","4045",,,1.92
436,"CPRCMUS-00609","712","712","M",3,3,3,1,3,3,3,3,1,"2","1",3,1,1,2,85.15,"55.18","63.4","84.72","42.08",46.28,73.58,56.76,"154.21","18.42","18.49","28.41","17.45","153.56","10.81","12.33","15.47","12.32","173.27","186.35","184.26","16.01","16.15","12.24","27.58","22.56","176.01","27.99","21.89","16.48","14.46",,"142.78","37","28","28","40","39","TF","TF","4063","4260","Q1046","04 Tier",5.78
437,"CPRCMUS-00610","718","718","M",3,3,3,2,3,3,3,3,2,"3","2",3,2,2,3,93.57,"57.34","66.47","87.68","42.33",53.77,79.80,58.37,"157.98","19.54","19.88","29.92","17.81","153.76","11.88","13.31","15.91","13.45","173.65","196.89","193.94","16.95","16.92","13.81","29.06","25.05","175.04","29.64","22.76","17.95","15.98",,"154.32","41","30","28","43","41",,"TF","4433","4322","Q1019","05 Tier",5.89
438,"CPRCMUS-00614","865","865","M",3,3,3,1,3,3,3,2,1,"2","1",2,1,1,1,85.88,"54","64.12","84.25","43.08",48.75,75.06,56.53,"150.74","17.17","19.49","30.1","17.58","152.21","12.03","14.07","16.22","13.59","173.17","183.56","181.4","16.26","17.01","13.09","29.91","23.45","169.85","28.22","22.38","16.9","16.18",,"145.67","39","27","27","40","37","TF","TF","4306","4250","Q1048","03 Tier",4.73
439,"CPRCMUS-00616","C36","C36","M",2,1,2,1,1,1,1,1,1,"1","1",1,1,1,1,57.66,"51.55","59.16","74.26","22.77",30.54,41.45,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,"23","16","16","23","22","TF","TF",,"3965","Q1056","06 Tier",0.93
440,"CPRCMUS-00617","A6","A6","F",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,84.95,"53.02","62.63","87.49","36",54.64,69.18,53.42,"138.93","16.6","17.45","27.45","16.78","131.2","11.66","12.15","15.06","12.96","149.6","161.19","Na",,"15.47","12.6","26.56","19.72","151.16","26.28","22.08","17.4","14.71",,"145.15","38","25","29","37","41","TF",,"4296","4188",,,16.97
441,"CPRCMUS-00618","9I","9I","M",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,93.86,"57","66.42","92.52","38.63",47.66,77.12,62.14,"155.23","19.7","19.33","31.86","18.71","157.32","12.86","13.17","17.57","14.33","175.99","192.43","Na","16.84","17.2","15.53","30.64","24.28","178.28","30.56","22.55","19.78","16.8",,"163.39","43","33","32","45","42","TF",,"4324","4180",,,13.84
442,"CPRCMUS-00619","720","720","M",3,3,3,1,3,3,2,2,1,"2","1",2,1,1,1,88.02,"55.42","66.81","92.24","42.7",56.99,74.64,56.53,"162.04","19.25","20.82","34.59","18.99","153.89","12.89","14.02","17.01","13.75","177.23","199.03","194.42","17.92","18.23",,"31.14","25.5","177.41","29.95","23.05","19.19","16.65",,"156.2","40","30","29","46","40","TF","TF","4166","4222","Q1046","05 Tier",5.93
443,"CPRCMUS-00620","G8","G8","F",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,88.91,"56.54","68.16","92.3","48.11",52.67,79.43,60.58,"149.03","16.28","17.68","29.18","18.65","148.57","11.36","12.47","16.17","12.87","164.15","177.26","172.86","15.26","15.49","12.78","30.28","23.72","159.66","31.28","22.75","18.26","15.17",,"153.63","39","28","29","40","40","TF","TF","4533","4503","Q1000","02 Tier",16.91
444,"CPRCMUS-00622","A33","A33","F",2,2,2,1,3,3,2,1,1,"1","1",1,1,1,1,70.86,"50.87","61.3","77.96","33.95",42.84,55.72,38.88,"126.55","12.56","15.25",,,"123","9.29","10.21","12.92","10.04",,"147.82",,"13.37","23.7","16.94",,,"139.76","22.68","16.43","14.6","12.58",,"123.56","27","22","21","30","28","TF","TF","4238","4223","Q1000","04 Tier",3.16
445,"CPRCMUS-00623","961","961","F",3,3,3,1,3,3,3,3,1,"2","1",3,1,1,1,70.36,"49.46","58.48","77.3","34.78",44.85,60.19,42.89,"131.01","13.82","15.46","24.52","13.07","123.79","9.73","11.05","13.84","9.28",,"159.82","157.25","13.36","13.75","11.28","24.45","19.1","146.05","23.59","17.18","14.53","12.62",,"124.93","24","20","23","32","28","TF","TF",,,"Q1071","06 Tier",4.13
446,"CPRCMUS-00625","919","919","M",2,2,2,1,2,0,0,1,1,"1","1",1,1,1,1,75.91,"54.39","65.49","84.64","32.51",45.50,63.13,45.17,"133.21","16.09","17.53",,"15.65","137.58","12.42","11.96","16.22","11.8",,"163.54","Na","16.12","15.94","12.61","27.37","21.01","151.87","27.03","19.51","16.63","14.48",,"128.89","35","22",,"36","33","TF",,"4022","4122",,,4.29
447,"CPRCMUS-00626","411","411","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,84.99,"52.78","64.92","86.26","34.26",46.52,71.14,55.85,"140.53","16","16.82","25.83","15.6","131.35","10.84","12.06","14.24","13.07","161.18","158.75",,"14.84","14.92","12.99","26.47","20.29","152.37","26.68","19.46","16.37","13.7",,"139.38","37","27","28","40","37","TF","TF","4187","4097","Q1056","04 Tier",11.33
448,"CPRCMUS-00627","697","697","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,81.81,"56.24","63.1","88.31","42.39",44.29,71.84,51.56,"136.66","17.02","17.15","26.12","15.46","138.4","10.65","11.59","14.34","11.47","157.38","162.9","160.44","14.9","14.75","12.33","25.72","19.39","148.64","25.58","18.6","16.62","13.45",,"135.88","39","26","26","43","38","TF",,"4260",,"Q1056","04 Tier",7.17
449,"CPRCMUS-00631","927","927","F",3,2,2,1,3,0,0,3,1,"2","1",3,1,1,1,72.05,"53.98","60.65","81.99","31.31",36.05,59.33,41.74,"130.33","15.31","17.17","23.73","14.72","127","10.35","10.71","13.14","11.13","144.21","158.95","Na","14.89","15.22","11.75","25.62","19.63","145.16","24.85","18.9","15.98","13.25",,"131.59","32","22","23","32","37","TF",,"4041","4336",,,4.48
450,"CPRCMUS-00632","731","731","F",3,3,3,1,3,3,3,3,1,"3","1",3,3,3,3,79.28,"52.95","59.17","81.71","39.62",48.29,70.77,50.12,"140.82","15.94","16.71","24.77","14.88","137.53","10.27","12.06","13.71","11.86","154.41","163.15","160.67","14.26","14.67","10.89","25.29","20.8","150.55","24.72","19.32","18.73","13.67",,"135.79","34","27","25","36","34","TF","TF","4202","4143","Q1071","04 Tier",6.22
451,"CPRCMUS-00633","457","457","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,98.51,"60.29","66.78","94.69","41.26",56.65,86.25,65.19,"157.09","19.01","19.96","30.68","19.98","156.53","12.43","14.14","17.66","14.63","175.26","189.98","184.2","19.16","18.75","15.1","30.06","23.83","170.41","28.84","23.11","21.16","15.7",,"164.84","42","33","31","44","41",,,"4408","4344","Q1000","03 Tier",11.38
452,"CPRCMUS-00634","847","847","F",3,3,3,2,3,3,3,3,2,"3","1",3,2,2,3,83.60,"56.96","64.13","91.21","43.49",42.24,72.30,51.54,"139.95","16","16.61","25.03","15.62","138.14","10.3","11.65","13.86","12.07",,"169.09","166.61","14.81","15.16",,"26.09","21.4","157.9","26.15","20.12","16.85","14.35",,"147.73","34","26","24","39","35","TF","TF","4128","4159","Q1019","04 Tier",5.38
453,"CPRCMUS-00635","602","602","M",3,3,3,3,3,0,0,3,3,"3","3",3,3,3,3,96.75,"58.79","67.6","93.37","38.31",50.55,87.37,68.92,"170.41","20.5","21.49","32.67","19.24","170.75","13.29","13.33","17.97","15.35","189.68","210.96","Na","17.62","18.14","14.17","32.05","27.2","194.63","30.74","24.95","19.87","16.6",,"174.37","48","33","34","49","46","TF",,"4246","4317",,,8.39
454,"CPRCMUS-00637","500","500","F",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,91.16,"54.95","66.61","90.23","48.93",49.46,75.60,56.18,"151.39","18.13","19.19","28.44","18.06","150.39","11.87","13.2","16.44","13.58","165.64","178.44","174.16","16.91","16.74","13.58","28.35","22.69","170.66","28.57","21.76","17.64","14.68",,"158.6","40","31","28","40","37","TF","TF","4347",,"Q1066","03 Tier",10.64
455,"CPRCMUS-00638","NU","NU","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,89.25,"57.56","63.73","91.73","44.34",46.44,76.06,59.17,"145.1","17.28","18.22","27.84","18.88","141.05","11.2","12.19","15.87","13.73","158.78","176.56","173.51","16.5","16.39","14.21","28.89","22.3","158.78","31.52","24.1","17.68","14.66",,"153.75","39","26","28","39","38","TF","TF","4417","4178","Q1083","02 Tier",20.49
456,"CPRCMUS-00639","724","724","F",3,3,2,3,3,3,3,3,2,"3","3",3,3,3,3,82.64,"54.49","62.56","88.61","33.25",48.20,67.51,46.48,"143.43","16.21","17.57","25.79","16.86","139.06","11.47","12.35","14.85","12.3","155.04","163.42","162.44","15.08","15.16","12.6","25.42","20.83","153.86","26.08","19.77","17.88","14.11",,"139.41","34","25","26","37","36","TF","TF","4307","4055","Q1056","05 Tier",6.56
457,"CPRCMUS-00640","980","980","M",3,2,3,1,3,3,2,1,1,"1","1",1,1,1,1,73.28,"51.52","58.66","82.94","32.35",40.80,59.70,,"124.78","15.3","17.2","26.48","16.27","120.02","11.03","12.12","15.65","12.1","137.67","148.57",,"15.1","15.19","12.17","27","19.82","142.18","25.72","19.05","16.87","13.85",,"122.16","28","22","22","31","31","SP","SP","4361","4202","Q1053","04 Tier",3.64
458,"CPRCMUS-00641","474","474","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,89.98,"54.98","62.72","90.12","42.47",56.90,73.87,52.28,"139.58","16.28","17.27","24.34","15.09","134.41","10.55","11.98","15.26","12.09","149.99","158.53","157.1","14.32","14.43","12.79","26.33","20.34","150.09","26.79","19.7","16.97","13.78",,"145.71","36","28","24","37","33","TF","TF","4221","4329","Q1071","04 Tier",11.92
459,"CPRCMUS-00642","D49","D49","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Q1071","05 Tier",2.14
460,"CPRCMUS-00643","JV","JV","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,101.76,,"67.14","91.05","47.09",58.31,86.62,64.77,"160.33","20.13","21.44","31.31","19.72","162.04","13.02","14.6","19.34","15.8","179.76","203.38","190.26","22.46","23.72",,"33.86","25.7","178.69","32.47","24.19","20.58","16.79",,"163.3","43","34","30","49","44",,,"4265","4271","Q1059","03 Tier",22.10
461,"CPRCMUS-00644","703","703","M",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,95.91,"51.16","66.98","88.6","38.29",52.09,87.30,63.34,"157.24","17.84","20.15","30.54","17.16","157.41","11.57","13.14","16.91","13.49","179.07","191.24","186.66","16.81","17.36","13.48","30","23.98","182.91","30.96","23.42","19.12","15.77",,"165.9","43","32","33","47","41","TF","TF","4340","4159","Q1053","04 Tier",8.16
462,"CPRCMUS-00645","E20","E20","M",2,1,1,1,1,0,0,1,1,"1","1",1,1,1,1,61.44,"50.83","61.24","75.88","24.86",34.90,45.35,32.25,,"8.85","10.3",,,"89.48","7.4","8.04","10.29","8.28",,"107.14","Na","11.05","11.5","8.91","19.73","12.9","104.5","17.05","12.38","11.8","11.62",,,,"16",,"24","24","TF",,"3856","4113",,,1.42
463,"CPRCMUS-00646","A06","A06","M",3,3,3,1,2,0,0,2,1,"2","1",2,1,1,1,89.94,"57.97","70.82","95.44","36.65",54.24,71.11,53.32,"145.18","18.41","19.05","31.8","18.07","146.14","12.65","13.6","16.29","13.98","165.7","183.9","Na",,"17.49","12.92","30.13","22.8","166.57","29.08","22.19","18.53","16.76",,"150.24","42","27","29","41","45","TF",,"4191","4149",,,4.47
464,"CPRCMUS-00647","CN/R009","R009","M-Castrated",0,0,0,3,3,3,3,3,3,"3","3",3,3,3,3,106.25,,,,"44.95",58.27,88.21,72.56,"160.06","20.76","18.47","32.71","19.62","163.52","13","14.29","18.79","15.83","183.14","201.36","194.55","17.41","17.67","15.41","32.11","26.09","158.65","33.25","26.49","20.08","15.67",,"170.48","47","30","33","49","56",,,"4151","4001","Q1056","02 Tier",26.94
465,"CPRCMUS-00652","W/401","W","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,86.16,"53.61","64.3","88.17","41",46.57,72.15,54.87,"152.09","18.85","17.29","31.07","19.99","146.56","13","13.15","16.32","12.84","164.52",,,,,,,,,,,,,,"153.1","40","31","27",,,"TF","TF",,,"Q1029","02 Tier",23.85
466,"CPRCMUS-00653","455/65","455","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,103.15,"56.27","71.12","94.34","44.41",56.58,89.53,68.92,"159.67","20.31","21.21","32","20.28","158.14","13.86","12.13","18.93","14.84","180.57","198.15","192.13","19.75","19.04",,"34.63","29.23","182.11","35.05","26.49","20.68","16.42","108.35","174.28","43","31","31","46","43",,,"4277","4240","Q1066","04 Tier",12.98
467,"CPRCMUS-00654","810","810","F",3,3,3,1,2,0,0,0,0,"3","1",2,3,2,2,79.41,"57.64","64.17","86.86","36.52",44.01,66.21,47.87,"147.47","14.56","17.49","25","15.87",,,,,,"160.01","170.49","Na","15.26","15.65","13.03","26.4","21.8","155.68","26.14","20.16","16.35","13.77",,"139.95","39",,"27","38","35","TF",,"4307","4359",,,7.12
468,"CPRCMUS-00655","C51","C51","M",3,2,2,2,1,0,0,1,1,"1","1",1,1,1,1,73.63,"54.62","60.9","50.91","30.32",43.52,58.66,40.58,"121.71","14.7","16.37",,"16.36","121.62","11.23","12.04","14.29","11.36","141.1","145.2","Na","15.17","14.73","11.86","25.54","19.39","140.78","25.11","17.69","16.38","13.72",,"120.22","31","20","24","33","30","SP",,"4035","4312",,,3.34
469,"CPRCMUS-00657","417","417","F",3,4,4,2,3,0,0,2,3,"3","3",2,3,3,3,85.19,"55.52","64.07","89.6","38.99",49.65,70.86,50.39,"140.86","16.07","17.49","26.65","17.86","137.3","11.64","11.82","14.78","12.64","156.74","164.16","Na","15.3","15.45","12.5","26.1","20.65","152.99","27.08","20.5","16.55","14.33",,"147.89","39","26","28","38","38","TF",,"4145","4364",,,13.27
470,"CPRCMUS-00658","890","890","M",3,3,3,2,3,0,0,3,1,"2","1",2,1,2,2,92.01,"60.47","67.54","91.22","35.33",54.43,77.00,54.76,"160.61","18.41","19.48","31.22","19.27","159.03","12.94","13.46","18.11","13.89","175.43","193.98","Na","16.67","16.95","13.51","31.27","24.15","180.8","30.57","21.99","18.31","18.26",,,"40","27","33","39","41","TF",,"4159","4170",,,6.32
